Aspergillus_sp._PYS4240_S1802E	F9F4E7D9
Aspergillus_sp._PYS4241_PYS4240	F1C7CE95
Aspergillus_sp._R109-04A_R109-04A	F6B43774
Aspergillus_sp._R1430_R1430	FBD906CC
Aspergillus_sp._R2302_R2407	F5FEB707
Aspergillus_sp._R2305_R3607	F59795AD
Aspergillus_sp._R2407_R2305	FBE0705B
Aspergillus_sp._R2504_S1107B	FDD2F24A
Aspergillus_sp._R2506_R2506	F9987FA8
Aspergillus_sp._R2804_R2804	F12A4DD3
Aspergillus_sp._R3602_R3602	F6138D83
Aspergillus_sp._R3607_F3603	F29987C0
Aspergillus_sp._S1107B_PYS4201	F9A6CA71
Aspergillus_sp._S1702_S1702	F4D20055
Aspergillus_sp._S1801_PYS4241	F8B4B3F5
Aspergillus_sp._S1802E_R2302	F4361BA3
Aspergillus_sp._S1902Y_PM3604	FBFB466B
Aspergillus_sp._S1903S_S1903S	F1047864
Aspergillus_sp._S1905_S1905	F5671B3D
Aspergillus_sp._S2101G_S2101G	F7490626
Aspergillus_sp._S2103_S2103	FA697386
Aspergillus_sp._S2105_S2105	F3ADE0B5
Aspergillus_sp._S2109_S2109	F7381500
Aspergillus_sp._S2111G.1_S2111G.1	F8B68BA4
Aspergillus_sp._S2111Y_S2111Y	F9506B60
Aspergillus_sp._S2805_S2805	F683C1F9
Aspergillus_sp._S3505_S1801	F19C6243
Aspergillus_sp._S3602_S3602	F536E336
Aspergillus_sp._S3605_S3605	F3E102D1
Aspergillus_sp._S3606_S3606	F3BE2732
Aspergillus_sp._S4401N_S4401N	FCE65980
Aspergillus_sp._S4402_S4402	F84F1D5D
Aspergillus_sp._subgen._Cremei_IBT_35662	F636F195
Aspergillus_sp._Z5_PG40-03	F8B8026A
Aspergillus_steynii_IBT_23096	F60A00F4
